,id,fdid,state,name,res_structure_fire_count,geom_id,source
110,77033,26320,AK,Central Emergency Services,266,8917,incorporatedplace
111,83307,07606,NC,Guil-Rand Fire Department,266,15064,incorporatedplace
112,94061,07313,MI,Saginaw Township Fire Department,265,5302,minorcivildivision
113,81160,09011,OH,Fairfield Fire Department,264,23395,minorcivildivision
114,93951,0429,OR,Rural-Metro Fire Department,264,15273,incorporatedplace
115,94908,05018,MI,Shelby Township Fire Department,262,3881,minorcivildivision
116,87534,76387,KY,Madison County Fire Department,261,536,minorcivildivision
117,80558,05100,GA,Effingham County Fire & Rescue,260,2088,countyorequivalent
118,88537,57027,OH,Miami Valley Fire District,260,22356,minorcivildivision
119,91381,36001,OH,Paint Creek Joint EMS/Fire District,259,17047,incorporatedplace
120,98451,23992,MA,Wareham Fire Department,259,6600,unincorporatedplace
121,85655,57023,OH,Kettering Fire Department,258,22329,minorcivildivision
122,84604,21223,SC,Howe Spring Fire District,257,17781,minorcivildivision
123,100062,19300,AR,Wynne Fire Department,256,7860,incorporatedplace
124,99603,WH252,IL,Williamson County Fire Protection District,256,1247,countyorequivalent
125,95149,07003,MD,Singerly Fire Company,255,1189,incorporatedplace
126,86242,19108,MN,Lakeville Fire Department,254,899,incorporatedplace
127,97357,33051,TN,Tri-Community Volunteer Fire Department,254,14039,incorporatedplace
128,93758,08241,MI,Romulus Fire Department,253,97,incorporatedplace
129,82293,09209,NC,Garner Volunteer Fire-Rescue  Inc.,253,17025,incorporatedplace
130,97454,56300,AR,Trumann Fire Department,252,9042,incorporatedplace
131,95164,20126,WV,Sissonville-Millertown-Pocatalico-Guthrie Volunteer Fire Department,252,46843,minorcivildivision
132,98660,F0250,ME,Waterville Fire-Rescue,251,2829,minorcivildivision
133,86526,38015,PA,Lebanon Fire Department,251,15210,incorporatedplace
134,84891,67003,MS,Indianola Fire Department,250,3958,incorporatedplace
135,77209,02508,MI,Charter Township of Flint Fire Department,249,5721,minorcivildivision
136,87605,SA306,TX,Magnolia Volunteer Fire Department,249,14687,incorporatedplace
137,98732,77001,MS,Wayne County Volunteer Fire Department,248,1180,incorporatedplace
